# This file contains a sequence of unicode symbols that can be displayed
# with Powerline Font. A unicode character could be inserted by pressing
# ctrl+shift u+(unicode code)+(space/enter/tab)

℀     0x2100
℁     0x2101
ℂ     0x2102
℃     0x2103
℄     0x2104
℅     0x2105
℆     0x2106
ℇ     0x2107
℈     0x2108
℉     0x2109
ℊ     0x210A
ℋ     0x210B
ℌ     0x210C
ℍ     0x210D
ℎ     0x210E
ℏ     0x210F
ℐ     0x2110
ℑ     0x2111
ℒ     0x2112
ℓ     0x2113
℔     0x2114
ℕ     0x2115
№     0x2116
℗     0x2117
℘     0x2118
ℙ     0x2119
ℚ     0x211A
ℛ     0x211B
ℜ     0x211C
ℝ     0x211D
℞     0x211E
℟     0x211F
℠     0x2120
℡     0x2121
™     0x2122
℣     0x2123
ℤ     0x2124
℥     0x2125
Ω     0x2126
℧     0x2127
ℨ     0x2128
℩     0x2129
K     0x212A
Å     0x212B
ℬ     0x212C
ℭ     0x212D
℮     0x212E
ℯ     0x212F
ℰ     0x2130
ℱ     0x2131
Ⅎ     0x2132
ℳ     0x2133
ℴ     0x2134
ℵ     0x2135
ℶ     0x2136
ℷ     0x2137
ℸ     0x2138
ℹ     0x2139
℺     0x213A
℻     0x213B
ℼ     0x213C
ℽ     0x213D
ℾ     0x213E
ℿ     0x213F
⅀     0x2140
⅁     0x2141
⅂     0x2142
⅃     0x2143
⅄     0x2144
ⅅ     0x2145
ⅆ     0x2146
ⅇ     0x2147
ⅈ     0x2148
ⅉ     0x2149
⅊     0x214A
⅋     0x214B
⅌     0x214C
⅍     0x214D
ⅎ     0x214E
⅏     0x214F
⅐     0x2150
⅑     0x2151
⅒     0x2152
⅓     0x2153
⅔     0x2154
⅕     0x2155
⅖     0x2156
⅗     0x2157
⅘     0x2158
⅙     0x2159
⅚     0x215A
⅛     0x215B
⅜     0x215C
⅝     0x215D
⅞     0x215E
⅟     0x215F
Ⅰ     0x2160
Ⅱ     0x2161
Ⅲ     0x2162
Ⅳ     0x2163
Ⅴ     0x2164
Ⅵ     0x2165
Ⅶ     0x2166
Ⅷ     0x2167
Ⅸ     0x2168
Ⅹ     0x2169
Ⅺ     0x216A
Ⅻ     0x216B
Ⅼ     0x216C
Ⅽ     0x216D
Ⅾ     0x216E
Ⅿ     0x216F
ⅰ     0x2170
ⅱ     0x2171
ⅲ     0x2172
ⅳ     0x2173
ⅴ     0x2174
ⅵ     0x2175
ⅶ     0x2176
ⅷ     0x2177
ⅸ     0x2178
ⅹ     0x2179
ⅺ     0x217A
ⅻ     0x217B
ⅼ     0x217C
ⅽ     0x217D
ⅾ     0x217E
ⅿ     0x217F
ↀ     0x2180
ↁ     0x2181
ↂ     0x2182
Ↄ     0x2183
ↄ     0x2184
ↅ     0x2185
ↆ     0x2186
ↇ     0x2187
ↈ     0x2188
↉     0x2189
↊     0x218A
↋     0x218B
↌     0x218C
↍     0x218D
↎     0x218E
↏     0x218F
←     0x2190
↑     0x2191
→     0x2192
↓     0x2193
↔     0x2194
↕     0x2195
↖     0x2196
↗     0x2197
↘     0x2198
↙     0x2199
↚     0x219A
↛     0x219B
↜     0x219C
↝     0x219D
↞     0x219E
↟     0x219F
↠     0x21A0
↡     0x21A1
↢     0x21A2
↣     0x21A3
↤     0x21A4
↥     0x21A5
↦     0x21A6
↧     0x21A7
↨     0x21A8
↩     0x21A9
↪     0x21AA
↫     0x21AB
↬     0x21AC
↭     0x21AD
↮     0x21AE
↯     0x21AF
↰     0x21B0
↱     0x21B1
↲     0x21B2
↳     0x21B3
↴     0x21B4
↵     0x21B5
↶     0x21B6
↷     0x21B7
↸     0x21B8
↹     0x21B9
↺     0x21BA
↻     0x21BB
↼     0x21BC
↽     0x21BD
↾     0x21BE
↿     0x21BF
⇀     0x21C0
⇁     0x21C1
⇂     0x21C2
⇃     0x21C3
⇄     0x21C4
⇅     0x21C5
⇆     0x21C6
⇇     0x21C7
⇈     0x21C8
⇉     0x21C9
⇊     0x21CA
⇋     0x21CB
⇌     0x21CC
⇍     0x21CD
⇎     0x21CE
⇏     0x21CF
⇐     0x21D0
⇑     0x21D1
⇒     0x21D2
⇓     0x21D3
⇔     0x21D4
⇕     0x21D5
⇖     0x21D6
⇗     0x21D7
⇘     0x21D8
⇙     0x21D9
⇚     0x21DA
⇛     0x21DB
⇜     0x21DC
⇝     0x21DD
⇞     0x21DE
⇟     0x21DF
⇠     0x21E0
⇡     0x21E1
⇢     0x21E2
⇣     0x21E3
⇤     0x21E4
⇥     0x21E5
⇦     0x21E6
⇧     0x21E7
⇨     0x21E8
⇩     0x21E9
⇪     0x21EA
⇫     0x21EB
⇬     0x21EC
⇭     0x21ED
⇮     0x21EE
⇯     0x21EF
⇰     0x21F0
⇱     0x21F1
⇲     0x21F2
⇳     0x21F3
⇴     0x21F4
⇵     0x21F5
⇶     0x21F6
⇷     0x21F7
⇸     0x21F8
⇹     0x21F9
⇺     0x21FA
⇻     0x21FB
⇼     0x21FC
⇽     0x21FD
⇾     0x21FE
⇿     0x21FF
∀     0x2200
∁     0x2201
∂     0x2202
∃     0x2203
∄     0x2204
∅     0x2205
∆     0x2206
∇     0x2207
∈     0x2208
∉     0x2209
∊     0x220A
∋     0x220B
∌     0x220C
∍     0x220D
∎     0x220E
∏     0x220F
∐     0x2210
∑     0x2211
−     0x2212
∓     0x2213
∔     0x2214
∕     0x2215
∖     0x2216
∗     0x2217
∘     0x2218
∙     0x2219
√     0x221A
∛     0x221B
∜     0x221C
∝     0x221D
∞     0x221E
∟     0x221F
∠     0x2220
∡     0x2221
∢     0x2222
∣     0x2223
∤     0x2224
∥     0x2225
∦     0x2226
∧     0x2227
∨     0x2228
∩     0x2229
∪     0x222A
∫     0x222B
∬     0x222C
∭     0x222D
∮     0x222E
∯     0x222F
∰     0x2230
∱     0x2231
∲     0x2232
∳     0x2233
∴     0x2234
∵     0x2235
∶     0x2236
∷     0x2237
∸     0x2238
∹     0x2239
∺     0x223A
∻     0x223B
∼     0x223C
∽     0x223D
∾     0x223E
∿     0x223F
≀     0x2240
≁     0x2241
≂     0x2242
≃     0x2243
≄     0x2244
≅     0x2245
≆     0x2246
≇     0x2247
≈     0x2248
≉     0x2249
≊     0x224A
≋     0x224B
≌     0x224C
≍     0x224D
≎     0x224E
≏     0x224F
≐     0x2250
≑     0x2251
≒     0x2252
≓     0x2253
≔     0x2254
≕     0x2255
≖     0x2256
≗     0x2257
≘     0x2258
≙     0x2259
≚     0x225A
≛     0x225B
≜     0x225C
≝     0x225D
≞     0x225E
≟     0x225F
≠     0x2260
≡     0x2261
≢     0x2262
≣     0x2263
≤     0x2264
≥     0x2265
≦     0x2266
≧     0x2267
≨     0x2268
≩     0x2269
≪     0x226A
≫     0x226B
≬     0x226C
≭     0x226D
≮     0x226E
≯     0x226F
≰     0x2270
≱     0x2271
≲     0x2272
≳     0x2273
≴     0x2274
≵     0x2275
≶     0x2276
≷     0x2277
≸     0x2278
≹     0x2279
≺     0x227A
≻     0x227B
≼     0x227C
≽     0x227D
≾     0x227E
≿     0x227F
⊀     0x2280
⊁     0x2281
⊂     0x2282
⊃     0x2283
⊄     0x2284
⊅     0x2285
⊆     0x2286
⊇     0x2287
⊈     0x2288
⊉     0x2289
⊊     0x228A
⊋     0x228B
⊌     0x228C
⊍     0x228D
⊎     0x228E
⊏     0x228F
⊐     0x2290
⊑     0x2291
⊒     0x2292
⊓     0x2293
⊔     0x2294
⊕     0x2295
⊖     0x2296
⊗     0x2297
⊘     0x2298
⊙     0x2299
⊚     0x229A
⊛     0x229B
⊜     0x229C
⊝     0x229D
⊞     0x229E
⊟     0x229F
⊠     0x22A0
⊡     0x22A1
⊢     0x22A2
⊣     0x22A3
⊤     0x22A4
⊥     0x22A5
⊦     0x22A6
⊧     0x22A7
⊨     0x22A8
⊩     0x22A9
⊪     0x22AA
⊫     0x22AB
⊬     0x22AC
⊭     0x22AD
⊮     0x22AE
⊯     0x22AF
⊰     0x22B0
⊱     0x22B1
⊲     0x22B2
⊳     0x22B3
⊴     0x22B4
⊵     0x22B5
⊶     0x22B6
⊷     0x22B7
⊸     0x22B8
⊹     0x22B9
⊺     0x22BA
⊻     0x22BB
⊼     0x22BC
⊽     0x22BD
⊾     0x22BE
⊿     0x22BF
⋀     0x22C0
⋁     0x22C1
⋂     0x22C2
⋃     0x22C3
⋄     0x22C4
⋅     0x22C5
⋆     0x22C6
⋇     0x22C7
⋈     0x22C8
⋉     0x22C9
⋊     0x22CA
⋋     0x22CB
⋌     0x22CC
⋍     0x22CD
⋎     0x22CE
⋏     0x22CF
⋐     0x22D0
⋑     0x22D1
⋒     0x22D2
⋓     0x22D3
⋔     0x22D4
⋕     0x22D5
⋖     0x22D6
⋗     0x22D7
⋘     0x22D8
⋙     0x22D9
⋚     0x22DA
⋛     0x22DB
⋜     0x22DC
⋝     0x22DD
⋞     0x22DE
⋟     0x22DF
⋠     0x22E0
⋡     0x22E1
⋢     0x22E2
⋣     0x22E3
⋤     0x22E4
⋥     0x22E5
⋦     0x22E6
⋧     0x22E7
⋨     0x22E8
⋩     0x22E9
⋪     0x22EA
⋫     0x22EB
⋬     0x22EC
⋭     0x22ED
⋮     0x22EE
⋯     0x22EF
⋰     0x22F0
⋱     0x22F1
⋲     0x22F2
⋳     0x22F3
⋴     0x22F4
⋵     0x22F5
⋶     0x22F6
⋷     0x22F7
⋸     0x22F8
⋹     0x22F9
⋺     0x22FA
⋻     0x22FB
⋼     0x22FC
⋽     0x22FD
⋾     0x22FE
⋿     0x22FF
⌀     0x2300
⌁     0x2301
⌂     0x2302
⌃     0x2303
⌄     0x2304
⌅     0x2305
⌆     0x2306
⌇     0x2307
⌈     0x2308
⌉     0x2309
⌊     0x230A
⌋     0x230B
⌌     0x230C
⌍     0x230D
⌎     0x230E
⌏     0x230F
⌐     0x2310
⌑     0x2311
⌒     0x2312
⌓     0x2313
⌔     0x2314
⌕     0x2315
⌖     0x2316
⌗     0x2317
⌘     0x2318
⌙     0x2319
⌚     0x231A
⌛     0x231B
⌜     0x231C
⌝     0x231D
⌞     0x231E
⌟     0x231F
⌠     0x2320
⌡     0x2321
⌢     0x2322
⌣     0x2323
⌤     0x2324
⌥     0x2325
⌦     0x2326
⌧     0x2327
⌨     0x2328
〈     0x2329
〉     0x232A
⌫     0x232B
⌬     0x232C
␀     0x2400
␁     0x2401
␂     0x2402
␃     0x2403
␄     0x2404
␅     0x2405
␆     0x2406
␇     0x2407
␈     0x2408
␉     0x2409
␊     0x240A
␋     0x240B
␌     0x240C
␍     0x240D
␎     0x240E
␏     0x240F
␐     0x2410
␑     0x2411
␒     0x2412
␓     0x2413
␔     0x2414
␕     0x2415
␖     0x2416
␗     0x2417
␘     0x2418
␙     0x2419
␚     0x241A
␛     0x241B
␜     0x241C
␝     0x241D
␞     0x241E
␟     0x241F
␠     0x2420
␡     0x2421
␢     0x2422
␣     0x2423
␤     0x2424
␥     0x2425
␦     0x2426
①     0x2460
②     0x2461
③     0x2462
④     0x2463
⑤     0x2464
⑥     0x2465
⑦     0x2466
⑧     0x2467
⑨     0x2468
⑩     0x2469
⑪     0x246A
⑫     0x246B
⑬     0x246C
⑭     0x246D
⑮     0x246E
⑯     0x246F
⑰     0x2470
⑱     0x2471
⑲     0x2472
⑳     0x2473
⑴     0x2474
⑵     0x2475
⑶     0x2476
⑷     0x2477
⑸     0x2478
⑹     0x2479
⑺     0x247A
⑻     0x247B
⑼     0x247C
⑽     0x247D
⑾     0x247E
⑿     0x247F
⒀     0x2480
⒁     0x2481
⒂     0x2482
⒃     0x2483
⒄     0x2484
⒅     0x2485
⒆     0x2486
⒇     0x2487
⒈     0x2488
⒉     0x2489
⒊     0x248A
⒋     0x248B
⒌     0x248C
⒍     0x248D
⒎     0x248E
⒏     0x248F
⒐     0x2490
⒑     0x2491
⒒     0x2492
⒓     0x2493
⒔     0x2494
⒕     0x2495
⒖     0x2496
⒗     0x2497
⒘     0x2498
⒙     0x2499
⒚     0x249A
⒛     0x249B
⒜     0x249C
⒝     0x249D
⒞     0x249E
⒟     0x249F
⒠     0x24A0
⒡     0x24A1
⒢     0x24A2
⒣     0x24A3
⒤     0x24A4
⒥     0x24A5
⒦     0x24A6
⒧     0x24A7
⒨     0x24A8
⒩     0x24A9
⒪     0x24AA
⒫     0x24AB
⒬     0x24AC
⒭     0x24AD
⒮     0x24AE
⒯     0x24AF
⒰     0x24B0
⒱     0x24B1
⒲     0x24B2
⒳     0x24B3
⒴     0x24B4
⒵     0x24B5
Ⓐ     0x24B6
Ⓑ     0x24B7
Ⓒ     0x24B8
Ⓓ     0x24B9
Ⓔ     0x24BA
Ⓕ     0x24BB
Ⓖ     0x24BC
Ⓗ     0x24BD
Ⓘ     0x24BE
Ⓙ     0x24BF
Ⓚ     0x24C0
Ⓛ     0x24C1
Ⓜ     0x24C2
Ⓝ     0x24C3
Ⓞ     0x24C4
Ⓟ     0x24C5
Ⓠ     0x24C6
Ⓡ     0x24C7
Ⓢ     0x24C8
Ⓣ     0x24C9
Ⓤ     0x24CA
Ⓥ     0x24CB
Ⓦ     0x24CC
Ⓧ     0x24CD
Ⓨ     0x24CE
Ⓩ     0x24CF
ⓐ     0x24D0
ⓑ     0x24D1
ⓒ     0x24D2
ⓓ     0x24D3
ⓔ     0x24D4
ⓕ     0x24D5
ⓖ     0x24D6
ⓗ     0x24D7
ⓘ     0x24D8
ⓙ     0x24D9
ⓚ     0x24DA
ⓛ     0x24DB
ⓜ     0x24DC
ⓝ     0x24DD
ⓞ     0x24DE
ⓟ     0x24DF
ⓠ     0x24E0
ⓡ     0x24E1
ⓢ     0x24E2
ⓣ     0x24E3
ⓤ     0x24E4
ⓥ     0x24E5
ⓦ     0x24E6
ⓧ     0x24E7
ⓨ     0x24E8
ⓩ     0x24E9
⓪     0x24EA
⓫     0x24EB
⓬     0x24EC
⓭     0x24ED
⓮     0x24EE
⓯     0x24EF
⓰     0x24F0
⓱     0x24F1
⓲     0x24F2
⓳     0x24F3
⓴     0x24F4
─     0x2500
━     0x2501
│     0x2502
┃     0x2503
┄     0x2504
┅     0x2505
┆     0x2506
┇     0x2507
┈     0x2508
┉     0x2509
┊     0x250A
┋     0x250B
┌     0x250C
┍     0x250D
┎     0x250E
┏     0x250F
┐     0x2510
┑     0x2511
┒     0x2512
┓     0x2513
└     0x2514
┕     0x2515
┖     0x2516
┗     0x2517
┘     0x2518
┙     0x2519
┚     0x251A
┛     0x251B
├     0x251C
┝     0x251D
┞     0x251E
┟     0x251F
┠     0x2520
┡     0x2521
┢     0x2522
┣     0x2523
┤     0x2524
┥     0x2525
┦     0x2526
┧     0x2527
┨     0x2528
┩     0x2529
┪     0x252A
┫     0x252B
┬     0x252C
┭     0x252D
┮     0x252E
┯     0x252F
┰     0x2530
┱     0x2531
┲     0x2532
┳     0x2533
┴     0x2534
┵     0x2535
┶     0x2536
┷     0x2537
┸     0x2538
┹     0x2539
┺     0x253A
┻     0x253B
┼     0x253C
┽     0x253D
┾     0x253E
┿     0x253F
╀     0x2540
╁     0x2541
╂     0x2542
╃     0x2543
╄     0x2544
╅     0x2545
╆     0x2546
╇     0x2547
╈     0x2548
╉     0x2549
╊     0x254A
╋     0x254B
╌     0x254C
╍     0x254D
╎     0x254E
╏     0x254F
═     0x2550
║     0x2551
╒     0x2552
╓     0x2553
╔     0x2554
╕     0x2555
╖     0x2556
╗     0x2557
╘     0x2558
╙     0x2559
╚     0x255A
╛     0x255B
╜     0x255C
╝     0x255D
╞     0x255E
╟     0x255F
╠     0x2560
╡     0x2561
╢     0x2562
╣     0x2563
╤     0x2564
╥     0x2565
╦     0x2566
╧     0x2567
╨     0x2568
╩     0x2569
╪     0x256A
╫     0x256B
╬     0x256C
╭     0x256D
